HomeTeamId,AwayTeamId,MatchDate,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals
10620,10602,2019-10-05 21:00:00.0000000,2,1
10620,10637,2019-02-22 22:00:00.0000000,2,0
10623,10628,2019-02-22 17:00:00.0000000,2,0
10586,10600,2019-02-22 15:00:00.0000000,2,1
10631,10622,2019-02-21 22:00:00.0000000,1,1
10592,10635,2019-02-15 22:00:00.0000000,2,1
10637,10602,2019-02-12 22:00:00.0000000,3,0
10632,10615,2019-02-11 22:00:00.0000000,1,2
10600,10623,2019-02-11 22:00:00.0000000,0,5
10617,10631,2019-02-11 22:00:00.0000000,0,3
10636,10597,2019-02-11 22:00:00.0000000,2,2
10610,10593,2019-02-11 22:00:00.0000000,4,1
10612,10639,2019-02-11 22:00:00.0000000,6,2
10627,10634,2019-02-11 22:00:00.0000000,1,1
10618,10613,2019-02-08 22:00:00.0000000,1,1
10630,10611,2019-02-08 22:00:00.0000000,3,0
10586,10628,2019-02-08 17:00:00.0000000,2,2
10604,10626,2019-02-08 17:00:00.0000000,0,0
10589,10638,2019-02-08 17:00:00.0000000,2,1
10639,10593,2019-02-07 17:00:00.0000000,0,3
10610,10612,2019-01-28 22:00:00.0000000,6,2
10635,10630,2019-01-22 17:00:00.0000000,2,2
10613,10589,2019-01-21 22:00:00.0000000,3,0
10593,10612,2019-01-21 22:00:00.0000000,1,3
10611,10635,2019-02-22 22:00:00.0000000,6,2
10615,10636,2019-01-21 22:00:00.0000000,4,0
10602,10619,2019-02-22 22:00:00.0000000,2,2
10634,10626,2019-02-24 16:00:00.0000000,0,2
10618,10613,2019-04-23 21:00:00.0000000,2,1
10592,10630,2019-04-23 21:00:00.0000000,0,3
10630,10615,2019-04-01 15:00:00.0000000,3,2
10618,10612,2019-03-29 22:00:00.0000000,2,1
10590,10619,2019-03-29 18:00:00.0000000,0,1
10604,10592,2019-03-29 17:30:00.0000000,1,3
10615,10620,2019-03-17 16:00:00.0000000,2,1
10619,10632,2019-03-15 22:00:00.0000000,2,0
10610,10613,2019-03-15 21:30:00.0000000,1,4
10604,10622,2019-03-15 17:30:00.0000000,1,0
10590,10634,2019-03-15 16:00:00.0000000,2,1
10628,10630,2019-03-15 16:00:00.0000000,1,2
10592,10623,2019-03-14 22:00:00.0000000,3,2
10604,10627,2019-03-01 17:00:00.0000000,1,0
10590,10622,2019-02-28 16:00:00.0000000,3,1
10620,10619,2019-02-26 21:00:00.0000000,0,2
10638,10613,2019-02-25 22:00:00.0000000,1,5
10592,10630,2019-02-25 22:00:00.0000000,3,1
10636,10632,2019-02-25 22:00:00.0000000,4,1
10612,10610,2019-02-25 22:00:00.0000000,1,3
10590,10617,2019-02-25 18:00:00.0000000,3,3
10593,10639,2019-02-25 16:00:00.0000000,1,4
10618,10589,2019-02-24 17:00:00.0000000,2,1
10615,10597,2019-02-24 16:00:00.0000000,8,1
10638,10618,2019-01-21 22:00:00.0000000,3,3
10631,10590,2019-01-21 22:00:00.0000000,0,5
10602,10620,2019-01-21 22:00:00.0000000,0,1
10635,10592,2019-10-25 16:00:00.0000000,0,5
10610,10639,2019-10-15 21:00:00.0000000,3,2
10612,10593,2019-10-08 21:00:00.0000000,2,0
10590,10631,2019-10-07 16:00:00.0000000,3,1
10627,10626,2019-10-07 14:30:00.0000000,1,0
10634,10604,2019-10-06 15:00:00.0000000,7,1
10586,10623,2019-10-06 14:00:00.0000000,1,2
10632,10597,2019-10-05 21:00:00.0000000,8,0
10600,10628,2019-10-05 21:00:00.0000000,1,3
10618,10638,2019-10-05 21:00:00.0000000,3,0
10622,10617,2019-10-05 21:00:00.0000000,3,0
10589,10613,2019-10-05 21:00:00.0000000,3,1
10611,10592,2019-10-05 21:00:00.0000000,2,1
10592,10611,2019-01-21 22:00:00.0000000,3,2
10617,10622,2019-01-21 22:00:00.0000000,1,1
10639,10610,2019-01-21 17:00:00.0000000,2,1
10626,10627,2019-01-20 16:00:00.0000000,1,1
10619,10637,2019-01-19 15:00:00.0000000,2,0
10597,10632,2019-01-18 22:00:00.0000000,0,3
10628,10600,2019-01-18 22:00:00.0000000,5,1
10623,10586,2019-01-18 18:00:00.0000000,1,2
10604,10634,2019-01-18 16:00:00.0000000,4,2
10622,10631,2019-01-16 22:00:00.0000000,1,1
10619,10618,2019-05-04 14:00:00.0000000,0,2
10618,10630,2019-05-08 21:00:00.0000000,1,0
10618,10636,2019-11-10 17:00:00.0000000,1,1
10605,10588,2019-11-11 22:00:00.0000000,1,1
10632,10638,2019-11-11 22:00:00.0000000,0,1
10615,10592,2019-11-13 22:00:00.0000000,7,1
10631,10638,2019-11-26 22:00:00.0000000,1,0
10628,10593,2019-11-28 18:00:00.0000000,3,2
10613,10604,2019-11-29 16:00:00.0000000,2,1
10640,10630,2019-11-29 22:00:00.0000000,3,3
10623,10636,2019-11-29 22:00:00.0000000,2,0
10632,10616,2019-11-29 22:00:00.0000000,6,0
10619,10600,2019-11-30 17:00:00.0000000,0,1
10584,10624,2019-12-02 17:00:00.0000000,1,5
10610,10590,2019-12-02 22:00:00.0000000,4,0
10623,10601,2019-11-10 15:00:00.0000000,3,4
10611,10634,2019-12-02 22:00:00.0000000,0,2
10618,10601,2019-12-02 22:00:00.0000000,3,0
10615,10586,2019-12-02 22:00:00.0000000,5,1
10588,10626,2019-12-02 22:00:00.0000000,1,1
10612,10626,2019-11-10 15:00:00.0000000,1,2
10611,10590,2019-11-09 16:00:00.0000000,3,1
10620,10586,2019-11-09 16:00:00.0000000,2,1
10588,10637,2019-09-09 21:00:00.0000000,4,0
19758,10631,2019-09-10 17:00:00.0000000,0,2
19757,10640,2019-09-10 18:00:00.0000000,1,3
10636,19756,2019-09-12 21:00:00.0000000,2,0
10638,10616,2019-09-24 22:00:00.0000000,1,0
10636,10601,2019-10-03 21:00:00.0000000,1,1
10631,10632,2019-10-03 21:00:00.0000000,3,0
10593,10619,2019-10-04 15:00:00.0000000,1,2
10640,10627,2019-10-04 21:00:00.0000000,0,2
10602,10630,2019-10-04 21:00:00.0000000,0,1
10592,10586,2019-10-04 21:30:00.0000000,0,0
10634,10590,2019-10-05 13:00:00.0000000,1,0
10611,10610,2019-10-05 17:00:00.0000000,1,1
10623,10618,2019-10-06 13:00:00.0000000,2,1
10624,10604,2019-10-06 15:00:00.0000000,1,1
10626,10605,2019-10-06 17:00:00.0000000,3,2
10628,10600,2019-10-07 17:00:00.0000000,2,2
10588,10612,2019-10-07 21:00:00.0000000,0,0
10615,10620,2019-10-07 21:00:00.0000000,1,2
10584,10613,2019-10-17 15:00:00.0000000,1,3
10604,10584,2019-11-07 16:00:00.0000000,2,2
10600,10593,2019-11-07 22:00:00.0000000,0,1
10630,10627,2019-11-08 15:00:00.0000000,0,1
10628,10619,2019-11-08 18:00:00.0000000,1,0
10634,10610,2019-11-08 22:00:00.0000000,2,2
10613,10624,2019-11-08 22:00:00.0000000,3,1
HomeTeamId,AwayTeamId,MatchDate,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult
10620,10602,2019-10-05 21:00:00.0000000,2,1,H
10620,10637,2019-02-22 22:00:00.0000000,2,0,H
10623,10628,2019-02-22 17:00:00.0000000,2,0,H
10586,10600,2019-02-22 15:00:00.0000000,2,1,H
10631,10622,2019-02-21 22:00:00.0000000,1,1,D
10592,10635,2019-02-15 22:00:00.0000000,2,1,H
10637,10602,2019-02-12 22:00:00.0000000,3,0,H
10632,10615,2019-02-11 22:00:00.0000000,1,2,A
10600,10623,2019-02-11 22:00:00.0000000,0,5,A
10617,10631,2019-02-11 22:00:00.0000000,0,3,A
10636,10597,2019-02-11 22:00:00.0000000,2,2,D
10610,10593,2019-02-11 22:00:00.0000000,4,1,H
10612,10639,2019-02-11 22:00:00.0000000,6,2,H
10627,10634,2019-02-11 22:00:00.0000000,1,1,D
10618,10613,2019-02-08 22:00:00.0000000,1,1,D
10630,10611,2019-02-08 22:00:00.0000000,3,0,H
10586,10628,2019-02-08 17:00:00.0000000,2,2,D
10604,10626,2019-02-08 17:00:00.0000000,0,0,D
10589,10638,2019-02-08 17:00:00.0000000,2,1,H
10639,10593,2019-02-07 17:00:00.0000000,0,3,A
10610,10612,2019-01-28 22:00:00.0000000,6,2,H
10635,10630,2019-01-22 17:00:00.0000000,2,2,D
10613,10589,2019-01-21 22:00:00.0000000,3,0,H
10593,10612,2019-01-21 22:00:00.0000000,1,3,A
10611,10635,2019-02-22 22:00:00.0000000,6,2,H
10615,10636,2019-01-21 22:00:00.0000000,4,0,H
10602,10619,2019-02-22 22:00:00.0000000,2,2,D
10634,10626,2019-02-24 16:00:00.0000000,0,2,A
10618,10613,2019-04-23 21:00:00.0000000,2,1,H
10592,10630,2019-04-23 21:00:00.0000000,0,3,A
10630,10615,2019-04-01 15:00:00.0000000,3,2,H
10618,10612,2019-03-29 22:00:00.0000000,2,1,H
10590,10619,2019-03-29 18:00:00.0000000,0,1,A
10604,10592,2019-03-29 17:30:00.0000000,1,3,A
10615,10620,2019-03-17 16:00:00.0000000,2,1,H
10619,10632,2019-03-15 22:00:00.0000000,2,0,H
10610,10613,2019-03-15 21:30:00.0000000,1,4,A
10604,10622,2019-03-15 17:30:00.0000000,1,0,H
10590,10634,2019-03-15 16:00:00.0000000,2,1,H
10628,10630,2019-03-15 16:00:00.0000000,1,2,A
10592,10623,2019-03-14 22:00:00.0000000,3,2,H
10604,10627,2019-03-01 17:00:00.0000000,1,0,H
10590,10622,2019-02-28 16:00:00.0000000,3,1,H
10620,10619,2019-02-26 21:00:00.0000000,0,2,A
10638,10613,2019-02-25 22:00:00.0000000,1,5,A
10592,10630,2019-02-25 22:00:00.0000000,3,1,H
10636,10632,2019-02-25 22:00:00.0000000,4,1,H
10612,10610,2019-02-25 22:00:00.0000000,1,3,A
10590,10617,2019-02-25 18:00:00.0000000,3,3,D
10593,10639,2019-02-25 16:00:00.0000000,1,4,A
10618,10589,2019-02-24 17:00:00.0000000,2,1,H
10615,10597,2019-02-24 16:00:00.0000000,8,1,H
10638,10618,2019-01-21 22:00:00.0000000,3,3,D
10631,10590,2019-01-21 22:00:00.0000000,0,5,A
10602,10620,2019-01-21 22:00:00.0000000,0,1,A
10635,10592,2019-10-25 16:00:00.0000000,0,5,A
10610,10639,2019-10-15 21:00:00.0000000,3,2,H
10612,10593,2019-10-08 21:00:00.0000000,2,0,H
10590,10631,2019-10-07 16:00:00.0000000,3,1,H
10627,10626,2019-10-07 14:30:00.0000000,1,0,H
10634,10604,2019-10-06 15:00:00.0000000,7,1,H
10586,10623,2019-10-06 14:00:00.0000000,1,2,A
10632,10597,2019-10-05 21:00:00.0000000,8,0,H
10600,10628,2019-10-05 21:00:00.0000000,1,3,A
10618,10638,2019-10-05 21:00:00.0000000,3,0,H
10622,10617,2019-10-05 21:00:00.0000000,3,0,H
10589,10613,2019-10-05 21:00:00.0000000,3,1,H
10611,10592,2019-10-05 21:00:00.0000000,2,1,H
10592,10611,2019-01-21 22:00:00.0000000,3,2,H
10617,10622,2019-01-21 22:00:00.0000000,1,1,D
10639,10610,2019-01-21 17:00:00.0000000,2,1,H
10626,10627,2019-01-20 16:00:00.0000000,1,1,D
10619,10637,2019-01-19 15:00:00.0000000,2,0,H
10597,10632,2019-01-18 22:00:00.0000000,0,3,A
10628,10600,2019-01-18 22:00:00.0000000,5,1,H
10623,10586,2019-01-18 18:00:00.0000000,1,2,A
10604,10634,2019-01-18 16:00:00.0000000,4,2,H
10622,10631,2019-01-16 22:00:00.0000000,1,1,D
10619,10618,2019-05-04 14:00:00.0000000,0,2,A
10618,10630,2019-05-08 21:00:00.0000000,1,0,H
10618,10636,2019-11-10 17:00:00.0000000,1,1,D
10605,10588,2019-11-11 22:00:00.0000000,1,1,D
10632,10638,2019-11-11 22:00:00.0000000,0,1,A
10615,10592,2019-11-13 22:00:00.0000000,7,1,H
10631,10638,2019-11-26 22:00:00.0000000,1,0,H
10628,10593,2019-11-28 18:00:00.0000000,3,2,H
10613,10604,2019-11-29 16:00:00.0000000,2,1,H
10640,10630,2019-11-29 22:00:00.0000000,3,3,D
10623,10636,2019-11-29 22:00:00.0000000,2,0,H
10632,10616,2019-11-29 22:00:00.0000000,6,0,H
10619,10600,2019-11-30 17:00:00.0000000,0,1,A
10584,10624,2019-12-02 17:00:00.0000000,1,5,A
10610,10590,2019-12-02 22:00:00.0000000,4,0,H
10623,10601,2019-11-10 15:00:00.0000000,3,4,A
10611,10634,2019-12-02 22:00:00.0000000,0,2,A
10618,10601,2019-12-02 22:00:00.0000000,3,0,H
10615,10586,2019-12-02 22:00:00.0000000,5,1,H
10588,10626,2019-12-02 22:00:00.0000000,1,1,D
10612,10626,2019-11-10 15:00:00.0000000,1,2,A
10611,10590,2019-11-09 16:00:00.0000000,3,1,H
10620,10586,2019-11-09 16:00:00.0000000,2,1,H
10588,10637,2019-09-09 21:00:00.0000000,4,0,H
19758,10631,2019-09-10 17:00:00.0000000,0,2,A
19757,10640,2019-09-10 18:00:00.0000000,1,3,A
10636,19756,2019-09-12 21:00:00.0000000,2,0,H
10638,10616,2019-09-24 22:00:00.0000000,1,0,H
10636,10601,2019-10-03 21:00:00.0000000,1,1,D
10631,10632,2019-10-03 21:00:00.0000000,3,0,H
10593,10619,2019-10-04 15:00:00.0000000,1,2,A
10640,10627,2019-10-04 21:00:00.0000000,0,2,A
10602,10630,2019-10-04 21:00:00.0000000,0,1,A
10592,10586,2019-10-04 21:30:00.0000000,0,0,D
10634,10590,2019-10-05 13:00:00.0000000,1,0,H
10611,10610,2019-10-05 17:00:00.0000000,1,1,D
10623,10618,2019-10-06 13:00:00.0000000,2,1,H
10624,10604,2019-10-06 15:00:00.0000000,1,1,D
10626,10605,2019-10-06 17:00:00.0000000,3,2,H
10628,10600,2019-10-07 17:00:00.0000000,2,2,D
10588,10612,2019-10-07 21:00:00.0000000,0,0,D
10615,10620,2019-10-07 21:00:00.0000000,1,2,A
10584,10613,2019-10-17 15:00:00.0000000,1,3,A
10604,10584,2019-11-07 16:00:00.0000000,2,2,D
10600,10593,2019-11-07 22:00:00.0000000,0,1,A
10630,10627,2019-11-08 15:00:00.0000000,0,1,A
10628,10619,2019-11-08 18:00:00.0000000,1,0,H
10634,10610,2019-11-08 22:00:00.0000000,2,2,D
10613,10624,2019-11-08 22:00:00.0000000,3,1,H
